title,company,location,remote,source,role_family,entry_level_score,posted_at,salary,url,last_seen_at
Junior Data Analyst,Example Analytics,Remote,1,example,data,8,2026-06-01,,https://example.com/jobs/1,2026-06-07T22:36:07+00:00
Office Assistant,Coalition Technologies ,Worldwide,1,remotive,mixed,3,2026-05-11T20:31:07,"$31,2k- $52k",https://remotive.com/remote-jobs/marketing/office-assistant-1680495,2026-06-07T22:45:06+00:00
